Player,Team,Age,Position,GP,DFGM,DFGA,DFG_PCT,FG_PCT,Season
Harrison Barnes,SAC,31,F,82,3.9,7.3,53.4,55.2,2023-24
CJ McCollum,NOP,32,G,66,4.2,7.3,58.1,54.2,2023-24
Duop Reath,POR,27,C,68,4,7.3,54.3,55,2023-24
De'Aaron Fox,SAC,26,G,74,4.2,7.2,57.8,54.1,2023-24
Brandin Podziemski,GSW,21,G,72,3.9,7.2,54.2,53.7,2023-24
Bobby Portis,MIL,29,F,82,4.2,7.2,58.2,55.1,2023-24
Andrew Nembhard,IND,24,G-F,67,3.7,7.2,51.3,53.1,2023-24
Malik Beasley,MIL,27,G,79,4,7.1,55.8,53.5,2023-24
DeMar DeRozan,CHI,34,G-F,78,4,7.1,56.7,55,2023-24
Jaden Ivey,DET,22,G,77,3.8,7.1,53.7,53.8,2023-24
Tyrese Haliburton,IND,24,G,69,4.3,7.1,61.2,53.6,2023-24
Immanuel Quickley,TOR,24,G,68,3.9,7,56.1,53.9,2023-24
Kelly Oubre Jr.,PHI,28,F-G,67,3.8,7,54.1,53.7,2023-24
Keldon Johnson,SAS,24,F-G,69,4,7,56.8,54.4,2023-24
Trayce Jackson-Davis,GSW,24,F,67,3.5,7,50.6,55.1,2023-24
Tyrese Maxey,PHI,23,G,69,3.6,6.9,52.9,54.1,2023-24
Kevon Looney,GSW,28,F,74,3.6,6.9,52.2,55.8,2023-24
Michael Porter Jr.,DEN,25,F,80,3.7,6.9,53.4,54.6,2023-24
Taurean Prince,LAL,30,F,77,3.9,6.8,56.7,54.6,2023-24
Rui Hachimura,LAL,26,F,68,3.7,6.8,54,55.9,2023-24
Jalen Williams,OKC,23,G-F,71,3.4,6.8,49.8,54.2,2023-24
Klay Thompson,GSW,34,G,76,3.5,6.8,50.8,54.8,2023-24
Tyus Jones,WAS,28,G,66,4.1,6.8,60.9,52.9,2023-24
Jaime Jaquez Jr.,MIA,23,G,75,3.9,6.8,57,54,2023-24
Jalen Brunson,NYK,27,G,77,3.8,6.8,56.2,53.8,2023-24
Josh Giddey,OKC,21,G,80,3.6,6.6,54,53.9,2023-24
Andrew Wiggins,GSW,29,F,71,3.6,6.6,54.9,54.6,2023-24
Tre Jones,SAS,24,G,77,3.8,6.6,57.5,52.3,2023-24
Jalen Suggs,ORL,22,G,75,3.4,6.6,51.9,53.3,2023-24
Caris LeVert,CLE,29,G,68,3.2,6.6,48.2,53.9,2023-24
Georges Niang,CLE,30,F,81,3.6,6.5,54.9,55,2023-24
Herbert Jones,NOP,25,F,76,3.6,6.5,54.7,54.4,2023-24
Anthony Edwards,MIN,22,G,79,3.4,6.5,52.9,54.1,2023-24
Jayson Tatum,BOS,26,F-G,74,3.5,6.5,53.3,54.7,2023-24
Ayo Dosunmu,CHI,24,G,75,3.4,6.5,52.9,54.4,2023-24
Toumani Camara,POR,24,F,70,3.7,6.5,57.1,54.3,2023-24
Jalen Green,HOU,22,G,82,3.5,6.5,53.3,54,2023-24
Naz Reid,MIN,24,C-F,81,3.5,6.5,53.6,55.5,2023-24
Luguentz Dort,OKC,25,G,79,3.3,6.5,50.9,53.6,2023-24
Jonathan Kuminga,GSW,21,F,74,3.4,6.5,52.2,54.8,2023-24
Royce O'Neale,PHX,30,F,78,3.5,6.5,53.3,54.1,2023-24
Jaylen Brown,BOS,27,G-F,70,3.3,6.4,51.7,54.2,2023-24
Stephen Curry,GSW,36,G,74,3.5,6.4,55.4,54.5,2023-24
Corey Kispert,WAS,25,F,80,3.6,6.4,56.8,53.6,2023-24
Peyton Watson,DEN,21,G,79,2.8,6.3,43.7,53.9,2023-24
Spencer Dinwiddie,LAL,31,G,75,3.5,6.3,54.9,53.4,2023-24
Drew Eubanks,PHX,27,F-C,74,3.2,6.3,50.6,55.2,2023-24
Nickeil Alexander-Walker,MIN,25,G,82,2.9,6.3,46,53,2023-24
Jordan Poole,WAS,24,G,78,3.8,6.2,60.2,53.9,2023-24
Donte DiVincenzo,NYK,27,G,81,3.7,6.2,59.2,54.4,2023-24
Zion Williamson,NOP,23,F,70,3.4,6.1,56.2,54.7,2023-24
Mike Conley,MIN,36,G,76,3.2,6.1,52.8,53.1,2023-24
Simone Fontecchio,DET,28,F,66,3.1,5.9,52.8,54.4,2023-24
Sam Hauser,BOS,26,F,79,3.1,5.9,52.4,53.4,2023-24
Jabari Walker,POR,21,F,72,3.2,5.9,54.4,55.2,2023-24
Derrick Jones Jr.,DAL,27,F,76,3,5.9,51.8,53.7,2023-24
Tim Hardaway Jr.,DAL,32,G-F,79,3.3,5.8,57.1,54.2,2023-24
Kentavious Caldwell-Pope,DEN,31,G,74,3,5.8,51.9,53.3,2023-24
LeBron James,LAL,39,F,70,3.2,5.8,54.5,54.6,2023-24
Cole Anthony,ORL,24,G,81,3.1,5.8,54.3,53.1,2023-24
Ochai Agbaji,TOR,24,G,78,2.8,5.8,48.9,53.6,2023-24
Isaac Okoro,CLE,23,F-G,68,2.8,5.7,48.2,53.4,2023-24
Andre Drummond,CHI,30,C,78,3.1,5.7,54.8,56.5,2023-24
Moritz Wagner,ORL,27,F-C,80,3.2,5.7,56.6,55.1,2023-24
Devin Vassell,SAS,23,G-F,68,3.4,5.7,59.1,54,2023-24
Pat Connaughton,MIL,31,G,76,3.1,5.7,55.1,53.1,2023-24
Keyonte George,UTA,20,G,75,3.2,5.7,56.4,53.8,2023-24
Kyle Anderson,MIN,30,F-G,79,3,5.6,52.4,54.4,2023-24
Cason Wallace,OKC,20,G,82,2.8,5.6,50.7,52.6,2023-24
Malik Monk,SAC,26,G,71,2.8,5.5,50.5,53.5,2023-24
Julian Champagnie,SAS,22,F,74,2.8,5.5,50.2,54.4,2023-24
Matisse Thybulle,POR,27,G-F,65,3.1,5.5,57.9,54.4,2023-24
Terance Mann,LAC,27,G-F,75,3.1,5.4,56.4,53.6,2023-24
Reggie Jackson,DEN,34,G,81,3.1,5.4,56.7,53.7,2023-24
Christian Braun,DEN,23,G,81,2.6,5.1,50.2,53.5,2023-24
Duncan Robinson,MIA,30,F,68,2.8,5.1,55.3,53.7,2023-24
Jaylin Williams,OKC,21,F,69,2.9,5.1,56.7,55.3,2023-24
Norman Powell,LAC,31,G,76,2.8,5,54.9,53.9,2023-24
Patrick Beverley,MIL,35,G,72,2.5,5,49.9,53.9,2023-24
Collin Sexton,UTA,25,G,78,2.8,4.9,56.8,54.2,2023-24
Jaxson Hayes,LAL,24,C-F,67,2.7,4.8,55.3,55,2023-24
Aaron Wiggins,OKC,25,G,78,2.2,4.8,46.8,54,2023-24
Eric Gordon,PHX,35,G,68,2.5,4.8,52.6,54.3,2023-24
Amir Coffey,LAC,26,G-F,66,2.5,4.7,53.4,52.9,2023-24
Obi Toppin,IND,26,F,82,2.6,4.6,56,54.7,2023-24
Russell Westbrook,LAC,35,G,68,2.2,4.6,48.7,53.4,2023-24
Jeff Green,HOU,37,F,77,2.3,4.5,50.4,54.2,2023-24
T.J. McConnell,IND,32,G,71,2.7,4.3,61.2,52.7,2023-24
Naji Marshall,NOP,26,F,66,2.3,4.3,52.8,54.5,2023-24
Gary Trent Jr.,TOR,25,G,71,2.5,4.3,57.7,54,2023-24
Payton Pritchard,BOS,26,G,82,2.4,4.3,55.2,52.6,2023-24
Marcus Sasser,DET,23,G,69,2.5,4.3,57.4,53.2,2023-24
Isaiah Joe,OKC,24,G,77,2.3,4.1,55.2,54.4,2023-24
Malaki Branham,SAS,21,F,74,2.4,4,59.1,53.2,2023-24
Cedi Osman,SAS,29,F,72,2.2,3.9,56.8,54.2,2023-24
Kenrich Williams,OKC,29,G-F,69,2.3,3.7,60.1,54.2,2023-24
Aaron Holiday,HOU,27,G,77,2,3.7,55.1,52.9,2023-24
Jae'Sean Tate,HOU,28,F,65,1.9,3.6,53.6,54.5,2023-24
Davion Mitchell,SAC,25,G,68,2,3.5,58.2,53,2023-24
Cameron Payne,PHI,29,G,76,1.8,3.3,55.9,53.5,2023-24
Jevon Carter,CHI,28,G,70,1.7,3,54.9,53.3,2023-24
Garrison Mathews,ATL,27,G,66,1.6,2.9,57.4,53,2023-24
Jaden Hardy,DAL,21,G,66,1.8,2.8,63.6,53.7,2023-24
Joe Ingles,ORL,36,F-G,68,1.4,2.4,58.4,53.2,2023-24
Brook Lopez,MIL,35,C,78,8.6,17.6,48.7,55.9,2022-23
Nikola Jokic,DEN,28,C,69,8.6,15.6,55.1,56.2,2022-23
Domantas Sabonis,SAC,27,F-C,79,8.7,15.3,56.4,56.8,2022-23
Joel Embiid,PHI,29,C-F,66,7.8,15,52.1,55.7,2022-23
Rudy Gobert,MIN,31,C,70,7.2,14.3,50.3,55.8,2022-23
Myles Turner,IND,27,C-F,62,7.2,13.8,52.1,56.4,2022-23
Ivica Zubac,LAC,26,C,76,6.7,13.6,49.1,56.5,2022-23
Nikola Vucevic,CHI,32,C,82,7.6,13.1,58.3,56.9,2022-23
Evan Mobley,CLE,22,C,79,6.5,12.8,51.1,55.2,2022-23
Jakob Poeltl,TOR,27,C,72,7,12.6,55.2,55.7,2022-23
Kristaps Porzingis,WAS,27,F-C,65,6,12.6,47.8,55.7,2022-23
Nic Claxton,BKN,24,C,76,5.8,12,48.4,55.5,2022-23
Clint Capela,ATL,29,C,65,6.4,11.8,54.2,55.8,2022-23
Jarrett Allen,CLE,25,C,68,6,11.8,51.1,55.7,2022-23
Alperen Sengun,HOU,20,C,75,6.4,11.8,54.2,56.2,2022-23
Zach Collins,SAS,25,F-C,63,6.2,11.8,52.9,56.4,2022-23
Al Horford,BOS,37,C-F,63,5.7,11.3,50.3,55.1,2022-23
Walker Kessler,UTA,21,C,74,5.6,11.2,49.9,56,2022-23
Mason Plumlee,LAC,33,F-C,79,6.1,11.1,54.9,56.1,2022-23
Deandre Ayton,PHX,24,C,67,5.7,11,51.6,56.4,2022-23
Kelly Olynyk,UTA,32,F-C,68,5.9,10.5,55.7,55.8,2022-23
Kevon Looney,GSW,27,F,82,5.4,10.4,52,56,2022-23
Bam Adebayo,MIA,25,C-F,75,5.5,10.3,53.5,55.9,2022-23
Jonas Valanciunas,NOP,31,C,79,5.7,10.1,55.9,57,2022-23
Scottie Barnes,TOR,21,F,77,5.7,10.1,56.6,55.5,2022-23
Draymond Green,GSW,33,F,73,5,10.1,49.4,55.9,2022-23
Jaren Jackson Jr.,MEM,23,F-C,63,4.6,9.9,46.6,55.9,2022-23
Fred VanVleet,TOR,29,G,69,5.4,9.7,55.9,54.4,2022-23
Luka Doncic,DAL,24,F-G,65,5.4,9.7,56.3,55,2022-23
Drew Eubanks,POR,26,F-C,78,5.1,9.6,53.4,55.7,2022-23
Lauri Markkanen,UTA,26,F-C,66,4.8,9.5,50,55.1,2022-23
Anfernee Simons,POR,24,G,62,5.4,9.5,56.9,54.2,2022-23
Buddy Hield,IND,30,G,80,5.2,9.4,55.3,54.5,2022-23
Royce O'Neale,BKN,30,F,76,4.9,9.4,52,55,2022-23
Onyeka Okongwu,ATL,22,F-C,80,4.9,9.4,52.3,55.6,2022-23
Dorian Finney-Smith,BKN,30,F,66,4.9,9.3,52,55.2,2022-23
Daniel Gafford,WAS,24,F-C,78,4.8,9.2,51.7,56.7,2022-23
John Collins,ATL,25,F-C,71,5.2,9.1,56.7,55.8,2022-23
Pascal Siakam,TOR,29,F,71,5.2,9,57.9,55.6,2022-23
Kyrie Irving,DAL,31,G,60,4.5,9,49.6,53.8,2022-23
Deni Avdija,WAS,22,F,76,4.7,9,51.8,54.6,2022-23
Derrick White,BOS,28,G,80,4.5,9,49.9,53.6,2022-23
Jalen Duren,DET,19,C,67,4.8,8.9,53.4,56.4,2022-23
Jabari Smith Jr.,HOU,20,F,79,5,8.9,56.4,55.3,2022-23
Jrue Holiday,MIL,33,G,67,4.6,8.8,52.3,54.6,2022-23
P.J. Washington,CHA,24,F,73,4.6,8.7,53.1,55.6,2022-23
Shai Gilgeous-Alexander,OKC,24,G,68,4.7,8.7,54.1,54.5,2022-23
Dejounte Murray,ATL,26,G,74,5.1,8.7,59.2,54.3,2022-23
Josh Hart,NYK,28,G,76,4.8,8.7,54.7,55,2022-23
Julius Randle,NYK,28,F-C,77,4.8,8.7,55.9,54.5,2022-23
Austin Reaves,LAL,25,G,64,4.6,8.7,52.7,53.2,2022-23
Christian Wood,DAL,27,F,67,4.6,8.6,53.7,55.1,2022-23
Harrison Barnes,SAC,31,F,82,4.7,8.6,54,55.1,2022-23
Nick Richards,CHA,25,C,65,4.7,8.5,55.2,56.7,2022-23
Jaylen Brown,BOS,26,G-F,67,4.4,8.5,51.9,54.7,2022-23
Giannis Antetokounmpo,MIL,28,F,62,3.9,8.5,45.9,55.5,2022-23
Dwight Powell,DAL,31,F-C,76,4.6,8.5,54,55.3,2022-23
Thomas Bryant,DEN,25,C-F,58,5.1,8.5,60,55.6,2022-23
Kyle Kuzma,WAS,27,F,64,4.2,8.4,49.6,54.6,2022-23
Jaden McDaniels,MIN,22,F,79,4.1,8.3,49.8,54.2,2022-23
CJ McCollum,NOP,31,G,75,4.8,8.3,57.4,53.7,2022-23
Paolo Banchero,ORL,20,F,72,4.6,8.3,55.5,55.7,2022-23
Caleb Martin,MIA,27,F,71,4.9,8.2,59.9,54,2022-23
Terry Rozier,CHA,29,G,63,4.9,8.1,59.8,53.3,2022-23
Josh Giddey,OKC,20,G,76,4.5,8.1,55.3,55.5,2022-23
Tre Jones,SAS,23,G,68,4.7,8.1,58.2,54,2022-23
Mitchell Robinson,NYK,25,C-F,59,4.2,8.1,51.9,55.2,2022-23
RJ Barrett,NYK,23,F-G,72,4.2,8.1,51.5,53.7,2022-23
Jordan Clarkson,UTA,31,G,61,4.3,8.1,53,53.5,2022-23
De'Anthony Melton,PHI,25,G,77,4.4,8,54.9,53.4,2022-23
Kevin Porter Jr.,HOU,23,G-F,59,4.8,8,60.5,54.1,2022-23
Mike Conley,MIN,35,G,67,4.3,7.9,55,53.6,2022-23
Kevin Huerter,SAC,24,G-F,75,4.4,7.7,57.4,54.3,2022-23
Dillon Brooks,MEM,27,G-F,73,3.9,7.7,50.4,53.9,2022-23
Naz Reid,MIN,23,C-F,68,4,7.7,52.6,55.9,2022-23
Santi Aldama,MEM,22,F-C,77,4.3,7.7,56.3,54.9,2022-23
Dennis Schroder,LAL,29,G,66,4.2,7.6,55.4,53,2022-23
De'Aaron Fox,SAC,25,G,73,4.4,7.6,58.2,53.7,2022-23
Immanuel Quickley,NYK,24,G,81,3.9,7.6,50.8,53.1,2022-23
Isaiah Hartenstein,NYK,25,C-F,82,3.9,7.6,51.4,55.5,2022-23
Aaron Gordon,DEN,27,F,68,3.9,7.6,51.7,54.9,2022-23
James Harden,PHI,33,G,58,4.2,7.5,55.1,54.9,2022-23
Tyler Herro,MIA,23,G,67,4.3,7.5,57.5,54.2,2022-23
OG Anunoby,TOR,25,F,67,3.7,7.5,49.3,55.5,2022-23
Jayson Tatum,BOS,25,F-G,74,4.2,7.5,56.1,54,2022-23
Killian Hayes,DET,21,G,76,4.2,7.5,56.1,54.2,2022-23
Xavier Tillman,MEM,24,F,59,3.9,7.5,51.8,55.4,2022-23
Ja Morant,MEM,23,G,61,3.8,7.5,50.9,54,2022-23
De'Andre Hunter,ATL,25,F-G,67,4.1,7.5,54.6,54.4,2022-23
Herbert Jones,NOP,24,F,66,4.1,7.4,55.9,54.9,2022-23
Jaden Ivey,DET,21,G,74,4.4,7.4,59.6,54.4,2022-23
Keldon Johnson,SAS,23,F-G,63,4.3,7.4,58.8,55.5,2022-23
Anthony Edwards,MIN,21,G,79,4,7.3,54.2,54,2022-23
Jamal Murray,DEN,26,G,65,4.3,7.3,59.2,53.6,2022-23
Caris LeVert,CLE,28,G,74,3.8,7.3,52.4,53.5,2022-23
Andrew Nembhard,IND,23,G-F,75,4,7.3,54,53.8,2022-23
Bobby Portis,MIL,28,F,70,3.8,7.3,52.7,55.5,2022-23
Bruce Brown,DEN,26,G-F,80,3.9,7.3,53.9,53.8,2022-23
Jarred Vanderbilt,LAL,24,F,78,4.3,7.3,58.8,55.6,2022-23
Troy Brown Jr.,LAL,23,G-F,76,4.2,7.3,57.2,53.8,2022-23
Damian Lillard,POR,32,G,58,4.2,7.2,57.9,54.6,2022-23
Donte DiVincenzo,GSW,26,G,72,4.1,7.2,57.1,53.8,2022-23
Quentin Grimes,NYK,23,G,70,3.8,7.2,53.1,53.5,2022-23
Tim Hardaway Jr.,DAL,31,G-F,71,4,7.2,55.7,54.4,2022-23
Bojan Bogdanovic,DET,34,F,59,4.1,7.1,58.1,54.9,2022-23
DeMar DeRozan,CHI,33,G-F,74,4,7.1,55.8,55,2022-23
Patrick Williams,CHI,21,F,82,3.7,7.1,51.8,54.6,2022-23
Zach LaVine,CHI,28,G,77,3.7,7,52.3,53.8,2022-23
Luguentz Dort,OKC,24,G,74,3.8,7,54.2,53.7,2022-23
Spencer Dinwiddie,BKN,30,G,79,3.9,7,55,54.6,2022-23
Corey Kispert,WAS,24,F,74,3.9,7,55.5,53.8,2022-23
Tobias Harris,PHI,30,F,74,3.8,7,54.5,54.8,2022-23
Kyle Anderson,MIN,29,F-G,68,3.7,7,53.4,54.5,2022-23
Jalen Williams,OKC,22,G-F,75,4.2,7,60,54.6,2022-23
Patrick Beverley,CHI,34,G,67,4.1,7,59,54.3,2022-23
Jalen Brunson,NYK,26,G,68,4.1,6.9,58.7,52.8,2022-23
Aaron Nesmith,IND,23,G-F,73,4,6.9,56.9,55.3,2022-23
D'Angelo Russell,LAL,27,G,71,3.7,6.9,54.2,53.4,2022-23
Jerami Grant,POR,29,F,63,3.6,6.9,51.9,54.9,2022-23
Darius Garland,CLE,23,G,69,3.7,6.8,53.7,53,2022-23
Reggie Bullock Jr.,DAL,32,G-F,78,3.9,6.8,57.3,54.7,2022-23
Chris Paul,PHX,38,G,59,3.5,6.8,52.1,55,2022-23
Desmond Bane,MEM,25,G,58,3.4,6.8,49.9,52.9,2022-23
Isaiah Jackson,IND,21,F,63,3.6,6.8,52.9,55.7,2022-23
Trae Young,ATL,24,G,73,3.8,6.7,55.9,53,2022-23
Grant Williams,BOS,24,F,79,3.8,6.7,55.7,54.2,2022-23
Trey Murphy III,NOP,23,F,79,4,6.7,59.8,54.6,2022-23
Jalen Green,HOU,21,G,76,3.7,6.7,55.8,54.4,2022-23
Franz Wagner,ORL,21,F,80,3.8,6.7,57.6,55.1,2022-23
Grayson Allen,MIL,27,G,72,3.7,6.7,55.9,53.8,2022-23
Bennedict Mathurin,IND,21,G-F,78,3.5,6.6,53.3,54.8,2022-23
Bismack Biyombo,PHX,30,C,60,3.1,6.6,47.2,56,2022-23
Trendon Watford,POR,22,F,60,3.8,6.6,57.7,55.1,2022-23
Monte Morris,WAS,28,G,62,3.7,6.6,56.3,53.7,2022-23
Cole Anthony,ORL,23,G,60,3.5,6.5,54.2,53.7,2022-23
Jalen Smith,IND,23,F-C,67,3.5,6.5,53.9,55.8,2022-23
Alex Caruso,CHI,29,G,67,3.3,6.5,50.5,53.6,2022-23
Marcus Morris Sr.,LAC,33,F,65,3.6,6.4,56.8,54.8,2022-23
Wenyen Gabriel,LAL,26,F,66,3.3,6.4,50.9,55.5,2022-23
Torrey Craig,PHX,32,F,79,3.1,6.4,49.4,54.7,2022-23
Klay Thompson,GSW,33,G,69,3.4,6.3,53.4,55.4,2022-23
Keegan Murray,SAC,22,F,80,3.5,6.3,56,54.1,2022-23
Max Strus,MIA,27,G-F,80,3.7,6.3,58.1,54.3,2022-23
Jonathan Kuminga,GSW,20,F,66,3.2,6.2,51.2,54.6,2022-23
P.J. Tucker,PHI,38,F,74,3.4,6.2,53.7,55.4,2022-23
Russell Westbrook,LAC,34,G,73,3.4,6.2,54.4,54.3,2022-23
John Konchar,MEM,27,G,71,3.3,6.2,52.4,53.3,2022-23
Jock Landale,PHX,27,C,68,3.1,6.2,50.1,55.9,2022-23
Jimmy Butler,MIA,33,F,64,3.6,6.2,58.1,54.6,2022-23
Luke Kornet,BOS,27,C-F,65,3.2,6.2,51.4,54.4,2022-23
Jalen McDaniels,PHI,25,F-C,80,3.3,6.1,54.1,54.6,2022-23
Markelle Fultz,ORL,25,G,60,3.7,6.1,60.8,54.4,2022-23
Reggie Jackson,DEN,33,G,67,3.2,6.1,52.8,53.3,2022-23
Kentavious Caldwell-Pope,DEN,30,G,76,3.6,6,58.9,53.1,2022-23
Malcolm Brogdon,BOS,30,G,67,3.3,6,54.6,54,2022-23
Donovan Mitchell,CLE,26,G,68,3.5,6,58.2,53.8,2022-23
Terance Mann,LAC,26,G-F,81,3.4,6,56.1,54.8,2022-23
Aaron Wiggins,OKC,24,G,68,3.3,6,54.7,53.6,2022-23
Marcus Smart,BOS,29,G,61,3.4,6,57.7,54.3,2022-23
Anthony Lamb,GSW,25,F,62,2.9,6,48.8,53.7,2022-23
Nicolas Batum,LAC,34,G-F,78,3.2,6,54.1,54.8,2022-23
Larry Nance Jr.,NOP,30,F-C,65,3.4,5.9,58.1,55.7,2022-23
Kevin Love,MIA,34,F-C,62,3.3,5.9,55.9,55.9,2022-23
Ayo Dosunmu,CHI,23,G,80,3,5.9,51.9,53.4,2022-23
Keita Bates-Diop,SAS,27,F,66,3.1,5.8,52.7,55.2,2022-23
Michael Porter Jr.,DEN,25,F,62,3.2,5.7,55.8,54.5,2022-23
Malik Beasley,LAL,26,G,81,3.3,5.7,57.6,54.1,2022-23
Jordan Poole,GSW,24,G,82,3.1,5.6,55,54,2022-23
Mike Muscala,BOS,31,F-C,63,3,5.5,53.3,55.7,2022-23
Tyrese Maxey,PHI,22,G,60,3,5.5,55.2,53.6,2022-23
Pat Connaughton,MIL,30,G,61,2.6,5.4,47.1,55.1,2022-23
Saddiq Bey,ATL,24,F,76,3.1,5.4,57.9,54.8,2022-23
Coby White,CHI,23,G,74,3,5.3,56.8,53.5,2022-23
Bol Bol,ORL,23,C-F,70,3.1,5.3,57.5,55.7,2022-23
Josh Green,DAL,22,G,60,3,5.3,56.2,53.7,2022-23
Cory Joseph,DET,31,G,61,3.1,5.2,59.4,53.4,2022-23
Jordan Goodwin,WAS,24,G,60,2.8,5.2,54.2,53.6,2022-23
Josh Okogie,PHX,24,G,65,2.7,5.2,52.8,54.4,2022-23
